region,x,y
Bucuresti,
Arges,-14,-110
Bacau,129,63
Bihor,-241,134
Bistrita-Nasaud,-46,162
Botosani,133,240
Brasov,13,-13
Braila,227,-95
Buzau,129,-75
Caras-Severin,-256,-84
Calarasi,169,-190
Cluj,-135,107
Constanta,281,-193
Covasna,82, 4
Dambovita,40,-127
Dolj,-122,-209
Galati,233,-15
Giurgiu,84,-215
Gorj,-151, -108
Harghita,43,72
Hunedoara,-173,-20
Ialomita,182,-153
Iasi,171,162
Ilfov,85,-152
Maramures,-86,217
Mehedinti,-193,-157
Mures,-32,84
Neamt,96,132
Olt,-54,-193
Prahova,74,-96
Satu Mare,-192,217
Salaj,-149,160
Sibiu,-66,3
Suceava,38,204
Teleorman,3,-235
Timis,-328,-10
Tulcea,303,-104
Valcea,-77,-98
Vaslui,218,80
Vrancea,162,-16
